time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-06-20 00:00:00+00:00,1.0,1.0,18,5
2024-06-21 00:00:00+00:00,1.0,1.0,56,2
2024-06-22 00:00:00+00:00,2.0,2.0,3,2
2024-06-23 00:00:00+00:00,3.0,1.0,31,5
2024-06-24 00:00:00+00:00,,,3,3
2024-06-25 00:00:00+00:00,1.0,1.0,2,1
2024-06-26 00:00:00+00:00,3.0,1.0,83,4
2024-06-27 00:00:00+00:00,2.0,2.0,31,8
2024-06-28 00:00:00+00:00,,,43,10
2024-06-29 00:00:00+00:00,,,16,3
2024-06-30 00:00:00+00:00,1.0,1.0,9,3
2024-07-01 00:00:00+00:00,4.0,2.0,28,5
2024-07-02 00:00:00+00:00,,,17,6
2024-07-03 00:00:00+00:00,,,122,4
