time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-14 00:00:00+00:00,2,2,7.0,3.0
2025-07-15 00:00:00+00:00,5,5,5.0,3.0
2025-07-16 00:00:00+00:00,4,4,2.0,1.0
2025-07-17 00:00:00+00:00,3,2,2.0,2.0
2025-07-18 00:00:00+00:00,6,6,1.0,1.0
2025-07-19 00:00:00+00:00,5,5,,
2025-07-20 00:00:00+00:00,3,3,4.0,3.0
2025-07-21 00:00:00+00:00,1,1,,
2025-07-22 00:00:00+00:00,1,1,1.0,1.0
2025-07-23 00:00:00+00:00,3,3,3.0,2.0
2025-07-24 00:00:00+00:00,1,1,3.0,1.0
2025-07-25 00:00:00+00:00,3,2,2.0,2.0
2025-07-26 00:00:00+00:00,4,4,1.0,1.0
