time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-08-26 00:00:00+00:00,2.0,2.0,7,2
2023-08-27 00:00:00+00:00,1.0,1.0,4,1
2023-08-28 00:00:00+00:00,2.0,2.0,3,1
2023-08-29 00:00:00+00:00,2.0,2.0,14,3
2023-08-30 00:00:00+00:00,1.0,1.0,98,1
2023-08-31 00:00:00+00:00,2.0,2.0,63,4
2023-09-01 00:00:00+00:00,1.0,1.0,29,4
2023-09-02 00:00:00+00:00,1.0,1.0,29,1
2023-09-03 00:00:00+00:00,2.0,2.0,3,2
2023-09-04 00:00:00+00:00,3.0,3.0,5,2
2023-09-05 00:00:00+00:00,1.0,1.0,7,2
2023-09-06 00:00:00+00:00,2.0,2.0,1,1
2023-09-07 00:00:00+00:00,3.0,3.0,11,2
2023-09-08 00:00:00+00:00,,,36,2
