time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-09-20 00:00:00+00:00,,,24.0,7.0
2024-09-21 00:00:00+00:00,2.0,2.0,56.0,7.0
2024-09-22 00:00:00+00:00,,,23.0,6.0
2024-09-23 00:00:00+00:00,,,85.0,15.0
2024-09-24 00:00:00+00:00,1.0,1.0,19.0,6.0
2024-09-25 00:00:00+00:00,3.0,3.0,15.0,6.0
2024-09-26 00:00:00+00:00,,,6.0,4.0
2024-09-27 00:00:00+00:00,,,10.0,6.0
2024-09-28 00:00:00+00:00,1.0,1.0,4.0,3.0
2024-09-29 00:00:00+00:00,,,3.0,2.0
2024-09-30 00:00:00+00:00,3.0,2.0,5.0,2.0
2024-10-01 00:00:00+00:00,,,1.0,1.0
2024-10-02 00:00:00+00:00,1.0,1.0,,
2024-10-03 00:00:00+00:00,,,18.0,3.0
