time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-07-19 00:00:00+00:00,4.0,2.0,3.0,1.0
2024-07-20 00:00:00+00:00,5.0,2.0,,
2024-07-21 00:00:00+00:00,2.0,2.0,2.0,1.0
2024-07-22 00:00:00+00:00,,,12.0,6.0
2024-07-23 00:00:00+00:00,,,11.0,4.0
2024-07-24 00:00:00+00:00,4.0,3.0,30.0,5.0
2024-07-26 00:00:00+00:00,3.0,1.0,8.0,2.0
2024-07-27 00:00:00+00:00,,,1.0,1.0
2024-07-28 00:00:00+00:00,3.0,1.0,4.0,1.0
2024-07-29 00:00:00+00:00,,,4.0,2.0
2024-07-30 00:00:00+00:00,2.0,1.0,60.0,2.0
2024-07-31 00:00:00+00:00,1.0,1.0,62.0,1.0
2024-08-01 00:00:00+00:00,,,3.0,1.0
