time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-08-29 00:00:00+00:00,2,2,14,3
2023-08-30 00:00:00+00:00,1,1,98,1
2023-08-31 00:00:00+00:00,2,2,63,4
2023-09-01 00:00:00+00:00,1,1,29,4
2023-09-02 00:00:00+00:00,1,1,29,1
2023-09-03 00:00:00+00:00,2,2,3,2
2023-09-04 00:00:00+00:00,3,3,5,2
2023-09-05 00:00:00+00:00,1,1,7,2
2023-09-06 00:00:00+00:00,2,2,1,1
2023-09-07 00:00:00+00:00,3,3,11,2
2023-09-08 00:00:00+00:00,1,1,36,2
2023-09-09 00:00:00+00:00,1,1,70,1
2023-09-10 00:00:00+00:00,2,2,6,4
2023-09-11 00:00:00+00:00,5,4,38,2
