time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-09 00:00:00+00:00,14,5,0,0
2026-04-10 00:00:00+00:00,21,9,1,1
2026-04-11 00:00:00+00:00,18,9,0,0
2026-04-12 00:00:00+00:00,18,6,3,2
2026-04-13 00:00:00+00:00,18,7,5,4
2026-04-14 00:00:00+00:00,19,6,4,3
2026-04-15 00:00:00+00:00,24,7,5,4
2026-04-16 00:00:00+00:00,13,4,2,2
2026-04-17 00:00:00+00:00,33,10,1,1
2026-04-18 00:00:00+00:00,16,7,3,3
2026-04-19 00:00:00+00:00,13,6,5,5
2026-04-20 00:00:00+00:00,46,23,9,7
2026-04-21 00:00:00+00:00,49,24,3,3
2026-04-22 00:00:00+00:00,85,31,0,0
