"filename", "language", "Python", "Markdown", "Jupyter", "XML", "Log", "comment", "blank", "total"
"d:\KevinproPython\workspace\Kevinpro-NLP-demo\Pretrain\model.py", "Python", 52, 0, 0, 0, 0, 0, 12, 64
"d:\KevinproPython\workspace\Kevinpro-NLP-demo\Pretrain\test.py", "Python", 66, 0, 0, 0, 0, 7, 11, 84
"d:\KevinproPython\workspace\Kevinpro-NLP-demo\Pretrain\train.log", "Log", 0, 0, 0, 0, 10057, 0, 14, 10071
"d:\KevinproPython\workspace\Kevinpro-NLP-demo\Pretrain\train.py", "Python", 133, 0, 0, 0, 0, 30, 35, 198
"d:\KevinproPython\workspace\Kevinpro-NLP-demo\Pretrain\transformer.py", "Python", 371, 0, 0, 0, 0, 111, 112, 594
"d:\KevinproPython\workspace\Kevinpro-NLP-demo\README.md", "Markdown", 0, 47, 0, 0, 0, 0, 45, 92
"d:\KevinproPython\workspace\Kevinpro-NLP-demo\Seq2Seq\Baseline.py", "Python", 76, 0, 0, 0, 0, 25, 15, 116
"d:\KevinproPython\workspace\Kevinpro-NLP-demo\Seq2Seq\README.md", "Markdown", 0, 3, 0, 0, 0, 0, 4, 7
"d:\KevinproPython\workspace\Kevinpro-NLP-demo\Seq2Seq\dataloader.py", "Python", 128, 0, 0, 0, 0, 25, 39, 192
"d:\KevinproPython\workspace\Kevinpro-NLP-demo\Seq2Seq\demo.py", "Python", 38, 0, 0, 0, 0, 9, 19, 66
"d:\KevinproPython\workspace\Kevinpro-NLP-demo\Seq2Seq\main.py", "Python", 168, 0, 0, 0, 0, 49, 32, 249
"d:\KevinproPython\workspace\Kevinpro-NLP-demo\Seq2Seq\preprocess.py", "Python", 76, 0, 0, 0, 0, 13, 18, 107
"d:\KevinproPython\workspace\Kevinpro-NLP-demo\Seq2Seq\test.py", "Python", 208, 0, 0, 0, 0, 54, 39, 301
"d:\KevinproPython\workspace\Kevinpro-NLP-demo\TextClassification\API.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"d:\KevinproPython\workspace\Kevinpro-NLP-demo\TextClassification\Attack.py", "Python", 19, 0, 0, 0, 0, 2, 2, 23
"d:\KevinproPython\workspace\Kevinpro-NLP-demo\TextClassification\CHIClassifier.py", "Python", 195, 0, 0, 0, 0, 16, 35, 246
"d:\KevinproPython\workspace\Kevinpro-NLP-demo\TextClassification\README.md", "Markdown", 0, 45, 0, 0, 0, 0, 33, 78
"d:\KevinproPython\workspace\Kevinpro-NLP-demo\TextClassification\analysis.py", "Python", 48, 0, 0, 0, 0, 8, 13, 69
"d:\KevinproPython\workspace\Kevinpro-NLP-demo\TextClassification\config.py", "Python", 7, 0, 0, 0, 0, 3, 4, 14
"d:\KevinproPython\workspace\Kevinpro-NLP-demo\TextClassification\dataloader.py", "Python", 60, 0, 0, 0, 0, 3, 14, 77
"d:\KevinproPython\workspace\Kevinpro-NLP-demo\TextClassification\dataloader2.py", "Python", 89, 0, 0, 0, 0, 0, 16, 105
"d:\KevinproPython\workspace\Kevinpro-NLP-demo\TextClassification\main.py", "Python", 287, 0, 0, 0, 0, 58, 69, 414
"d:\KevinproPython\workspace\Kevinpro-NLP-demo\TextClassification\model.py", "Python", 119, 0, 0, 0, 0, 40, 37, 196
"d:\KevinproPython\workspace\Kevinpro-NLP-demo\TextClassification\transformer.py", "Python", 371, 0, 0, 0, 0, 111, 106, 588
"d:\KevinproPython\workspace\Kevinpro-NLP-demo\TextClassification\util.py", "Python", 66, 0, 0, 0, 0, 0, 8, 74
"d:\KevinproPython\workspace\Kevinpro-NLP-demo\Transformer\mytutorial.py", "Python", 172, 0, 0, 0, 0, 20, 34, 226
"d:\KevinproPython\workspace\Kevinpro-NLP-demo\Transformer\tutorial.py", "Python", 323, 0, 0, 0, 0, 17, 55, 395
"d:\KevinproPython\workspace\Kevinpro-NLP-demo\Transformer\tutorial2.py", "Python", 186, 0, 0, 0, 0, 27, 39, 252
"d:\KevinproPython\workspace\Kevinpro-NLP-demo\VAEGenerator\TransformVAE.py", "Python", 190, 0, 0, 0, 0, 62, 40, 292
"d:\KevinproPython\workspace\Kevinpro-NLP-demo\VAEGenerator\test.py", "Python", 107, 0, 0, 0, 0, 86, 25, 218
"d:\KevinproPython\workspace\Kevinpro-NLP-demo\VAEGenerator\transformerBased.py", "Python", 76, 0, 0, 0, 0, 45, 18, 139
"Total", "-", 7825, 259, 313, 179705, 10057, 1776, 3118, 203053
