,id,title,authors,subjects,subject_split
53,arXiv:2110.15426,"
Title: RadBERT-CL: Factually-Aware Contrastive Learning For Radiology Report  Classification
","
Authors:
Ajay Jaiswal, 
Liyan Tang, 
Meheli Ghosh, 
Justin Rousseau, 
Yifan Peng, 
Ying Ding
","
Subjects: Machine Learning (cs.LG); Computation and Language (cs.CL)

","['Machine Learning (cs.LG)', 'Computation and Language (cs.CL)']"
20,arXiv:2110.15729,"
Title: Decision Attentive Regularization to Improve Simultaneous Speech  Translation Systems
","
Authors:
Mohd Abbas Zaidi, 
Beomseok Lee, 
Nikhil Kumar Lakumarapu, 
Sangha Kim, 
Chanwoo Kim
","
Subjects: Sound (cs.SD); Computation and Language (cs.CL); Audio and Speech Processing (eess.AS)

","['Sound (cs.SD)', 'Computation and Language (cs.CL)', 'Audio and Speech Processing (eess.AS)']"
29,arXiv:2110.15720,"
Title: Weakly Supervised Concept Map Generation through Task-Guided Graph  Translation
","
Authors:
Jiaying Lu, 
Xiangjue Dong, 
Carl J. Yang
","
Subjects: Computation and Language (cs.CL); Artificial Intelligence (cs.AI)

","['Computation and Language (cs.CL)', 'Artificial Intelligence (cs.AI)']"
32,arXiv:2110.15716,"
Title: Building the Language Resource for a Cebuano-Filipino Neural Machine  Translation System
","
Authors:
Kristine Mae Adlaon, 
Nelson Marcos
","
Subjects: Computation and Language (cs.CL)
",['Computation and Language (cs.CL)']
53,arXiv:2110.15426,"
Title: RadBERT-CL: Factually-Aware Contrastive Learning For Radiology Report  Classification
","
Authors:
Ajay Jaiswal, 
Liyan Tang, 
Meheli Ghosh, 
Justin Rousseau, 
Yifan Peng, 
Ying Ding
","
Subjects: Machine Learning (cs.LG); Computation and Language (cs.CL)

","['Machine Learning (cs.LG)', 'Computation and Language (cs.CL)']"
